Rank,Artist
1,Sabrina Carpenter
2,Kendrick Lamar
3,Shaboozey
4,Sabrina Carpenter
5,Post Malone
6,Billie Eillish
7,Chappell Roan
8,Tommy Richman
9,Gozier
10,Chappell Roan
11,Benson Boone
12,Zach Bryan
13,Zach Bryan
14,Tommy Richman
15,Post Malone
16,Billie Eillish
17,Future
18,Chappell Roan
19,Morgan Wallen
20,Eminum
21,Teddy Swims
22,Noah Kahan
23,Taylor Swift
24,The Kid Laroi
25,Morgan Wallen
26,Dasha
27,Chappell Roan
28,Ella Langley
29,Zach Bryan
30,Zach Bryan
31,Morgan Wallen
32,FloyyMenor
33,Taylor Swift
34,Billie Eillish
35,Tyler The Creator
36,Jimin
37,Morgan Wallen
38,Myles Smith
39,Sabrina Carpenter
40,Koe Wetzel
41,taylor Swift
42,Zach Bryan
43,Artemas
44,Benson Boone
45,Djo
46,Glorilla
47,Ariana Grande
48,The Kid Laroi
49,Kendrick Lamar
50,michael Marcagi
51,Luke Combs
52,The Neighbourhood
53,Central Cee
54,Chappell Roan
55,Karol G
56,SZA
57,Daryl Hall & John Oates
58,Mustard
59,Luke Combs
60,Gracie Abrams
61,Tucker Wetmore
61,Sabrina Carpenter
63,Luke Combs
64,Charli xcx
65,Luke Combes
66,SZA
67,Future
68,Van Morrison
69,Morgan Wallen
70,Harry Styles
71,Dominic Fike
72,Moneybagg Yo
73,Megan Thee Stallion
74,Gunna
75,BigXthaPlug
76,Miley Cyrus
77,Zach Bryan
78,Glorilla
79,Tinashe
80,Kelsea Ballerini
81,Frank Ocean
82,Travis Scott
83,Marshmello
84,Fleetwood Mac
85,Diplo
86,Richy Mitch
87,SZA
88,Tyler Childers
89,Zach Bryan
90,Gracie Abrams
91,Creedence Clearwater Revival
92,Gunna
93,Megan thee Stallion
94,Journey
95,Billie Eillish
96,Mark Ambor
97,Jordan Adetunji
98,Dominic Fike
99,Miguel
100,Jimin
